Amount,n1000,n500,n100,n50,n20,n10
3360,3,0,3,1,0,1
3370,3,0,3,0,3,1
3380,3,0,3,1,1,1
3390,3,0,3,0,4,1
3400,3,0,3,1,2,1
3410,3,0,4,0,0,1
3420,3,0,3,1,3,1
3430,3,0,4,0,1,1
3440,3,0,3,1,4,1
3450,3,0,4,0,2,1
3460,3,0,4,1,0,1
3470,3,0,4,0,3,1
3480,3,0,4,1,1,1
3490,3,0,4,0,4,1
3500,3,0,4,1,2,1
3510,3,1,0,0,0,1
3520,3,0,4,1,3,1
3530,3,1,0,0,1,1
3540,3,0,4,1,4,1
3550,3,1,0,0,2,1
3560,3,1,0,1,0,1
3570,3,1,0,0,3,1
3580,3,1,0,1,1,1
3590,3,1,0,0,4,1
3600,3,1,0,1,2,1
3610,3,1,1,0,0,1
3620,3,1,0,1,3,1
3630,3,1,1,0,1,1
3640,3,1,0,1,4,1
3650,3,1,1,0,2,1
3660,3,1,1,1,0,1
3670,3,1,1,0,3,1
3680,3,1,1,1,1,1
3690,3,1,1,0,4,1
3700,3,1,1,1,2,1
3710,3,1,2,0,0,1
3720,3,1,1,1,3,1
3730,3,1,2,0,1,1
3740,3,1,1,1,4,1
3750,3,1,2,0,2,1
3760,3,1,2,1,0,1
3770,3,1,2,0,3,1
3780,3,1,2,1,1,1
3790,3,1,2,0,4,1
3800,3,1,2,1,2,1
3810,3,1,3,0,0,1
3820,3,1,2,1,3,1
3830,3,1,3,0,1,1
3840,3,1,2,1,4,1
3850,3,1,3,0,2,1
3860,3,1,3,1,0,1
3870,3,1,3,0,3,1
3880,3,1,3,1,1,1
3890,3,1,3,0,4,1
3900,3,1,3,1,2,1
3910,3,1,4,0,0,1
3920,3,1,3,1,3,1
3930,3,1,4,0,1,1
3940,3,1,3,1,4,1
3950,3,1,4,0,2,1
3960,3,1,4,1,0,1
3970,3,1,4,0,3,1
3980,3,1,4,1,1,1
3990,3,1,4,0,4,1
4000,3,1,4,1,2,1
4010,4,0,0,0,0,1
4020,3,1,4,1,3,1
4030,4,0,0,0,1,1
4040,3,1,4,1,4,1
4050,4,0,0,0,2,1
4060,4,0,0,1,0,1
4070,4,0,0,0,3,1
4080,4,0,0,1,1,1
4090,4,0,0,0,4,1
4100,4,0,0,1,2,1
4110,4,0,1,0,0,1
4120,4,0,0,1,3,1
4130,4,0,1,0,1,1
4140,4,0,0,1,4,1
4150,4,0,1,0,2,1
4160,4,0,1,1,0,1
4170,4,0,1,0,3,1
4180,4,0,1,1,1,1
4190,4,0,1,0,4,1
4200,4,0,1,1,2,1
4210,4,0,2,0,0,1
4220,4,0,1,1,3,1
4230,4,0,2,0,1,1
4240,4,0,1,1,4,1
4250,4,0,2,0,2,1
4260,4,0,2,1,0,1
4270,4,0,2,0,3,1
4280,4,0,2,1,1,1
4290,4,0,2,0,4,1
4300,4,0,2,1,2,1
4310,4,0,3,0,0,1
4320,4,0,2,1,3,1
4330,4,0,3,0,1,1
4340,4,0,2,1,4,1
4350,4,0,3,0,2,1
4360,4,0,3,1,0,1
4370,4,0,3,0,3,1
4380,4,0,3,1,1,1
4390,4,0,3,0,4,1
4400,4,0,3,1,2,1
4410,4,0,4,0,0,1
4420,4,0,3,1,3,1
4430,4,0,4,0,1,1
4440,4,0,3,1,4,1
4450,4,0,4,0,2,1
4460,4,0,4,1,0,1
4470,4,0,4,0,3,1
4480,4,0,4,1,1,1
4490,4,0,4,0,4,1
4500,4,0,4,1,2,1
4510,4,1,0,0,0,1
4520,4,0,4,1,3,1
4530,4,1,0,0,1,1
4540,4,0,4,1,4,1
4550,4,1,0,0,2,1
4560,4,1,0,1,0,1
4570,4,1,0,0,3,1
4580,4,1,0,1,1,1
4590,4,1,0,0,4,1
4600,4,1,0,1,2,1
4610,4,1,1,0,0,1
4620,4,1,0,1,3,1
4630,4,1,1,0,1,1
4640,4,1,0,1,4,1
4650,4,1,1,0,2,1
4660,4,1,1,1,0,1
4670,4,1,1,0,3,1
4680,4,1,1,1,1,1
4690,4,1,1,0,4,1
4700,4,1,1,1,2,1
4710,4,1,2,0,0,1
4720,4,1,1,1,3,1
4730,4,1,2,0,1,1
4740,4,1,1,1,4,1
4750,4,1,2,0,2,1
4760,4,1,2,1,0,1
4770,4,1,2,0,3,1
4780,4,1,2,1,1,1
4790,4,1,2,0,4,1
4800,4,1,2,1,2,1
4810,4,1,3,0,0,1
4820,4,1,2,1,3,1
4830,4,1,3,0,1,1
4840,4,1,2,1,4,1
4850,4,1,3,0,2,1
4860,4,1,3,1,0,1
4870,4,1,3,0,3,1
4880,4,1,3,1,1,1
4890,4,1,3,0,4,1
4900,4,1,3,1,2,1
4910,4,1,4,0,0,1
4920,4,1,3,1,3,1
4930,4,1,4,0,1,1
4940,4,1,3,1,4,1
4950,4,1,4,0,2,1
4960,4,1,4,1,0,1
4970,4,1,4,0,3,1
4980,4,1,4,1,1,1
4990,4,1,4,0,4,1
5000,4,1,4,1,2,1
5010,5,0,0,0,0,1
5020,4,1,4,1,3,1
5030,5,0,0,0,1,1
5040,4,1,4,1,4,1
5050,5,0,0,0,2,1
5060,5,0,0,1,0,1
5070,5,0,0,0,3,1
5080,5,0,0,1,1,1
5090,5,0,0,0,4,1
5100,5,0,0,1,2,1
5110,5,0,1,0,0,1
5120,5,0,0,1,3,1
5130,5,0,1,0,1,1
5140,5,0,0,1,4,1
5150,5,0,1,0,2,1
5160,5,0,1,1,0,1
5170,5,0,1,0,3,1
5180,5,0,1,1,1,1
5190,5,0,1,0,4,1
5200,5,0,1,1,2,1
5210,5,0,2,0,0,1
5220,5,0,1,1,3,1
5230,5,0,2,0,1,1
5240,5,0,1,1,4,1
5250,5,0,2,0,2,1
5260,5,0,2,1,0,1
5270,5,0,2,0,3,1
5280,5,0,2,1,1,1
5290,5,0,2,0,4,1
5300,5,0,2,1,2,1
5310,5,0,3,0,0,1
5320,5,0,2,1,3,1
5330,5,0,3,0,1,1
5340,5,0,2,1,4,1
5350,5,0,3,0,2,1
5360,5,0,3,1,0,1
5370,5,0,3,0,3,1
5380,5,0,3,1,1,1
5390,5,0,3,0,4,1
5400,5,0,3,1,2,1
5410,5,0,4,0,0,1
5420,5,0,3,1,3,1
5430,5,0,4,0,1,1
5440,5,0,3,1,4,1
5450,5,0,4,0,2,1
5460,5,0,4,1,0,1
5470,5,0,4,0,3,1
5480,5,0,4,1,1,1
5490,5,0,4,0,4,1
5500,5,0,4,1,2,1
5510,5,1,0,0,0,1
5520,5,0,4,1,3,1
5530,5,1,0,0,1,1
5540,5,0,4,1,4,1
5550,5,1,0,0,2,1
5560,5,1,0,1,0,1
5570,5,1,0,0,3,1
5580,5,1,0,1,1,1
5590,5,1,0,0,4,1
5600,5,1,0,1,2,1
5610,5,1,1,0,0,1
5620,5,1,0,1,3,1
5630,5,1,1,0,1,1
5640,5,1,0,1,4,1
5650,5,1,1,0,2,1
5660,5,1,1,1,0,1
5670,5,1,1,0,3,1
5680,5,1,1,1,1,1
5690,5,1,1,0,4,1
5700,5,1,1,1,2,1
5710,5,1,2,0,0,1
5720,5,1,1,1,3,1
5730,5,1,2,0,1,1
5740,5,1,1,1,4,1
5750,5,1,2,0,2,1
5760,5,1,2,1,0,1
5770,5,1,2,0,3,1
5780,5,1,2,1,1,1
5790,5,1,2,0,4,1
5800,5,1,2,1,2,1
5810,5,1,3,0,0,1
5820,5,1,2,1,3,1
5830,5,1,3,0,1,1
5840,5,1,2,1,4,1
5850,5,1,3,0,2,1
5860,5,1,3,1,0,1
5870,5,1,3,0,3,1
5880,5,1,3,1,1,1
5890,5,1,3,0,4,1
5900,5,1,3,1,2,1
5910,5,1,4,0,0,1
5920,5,1,3,1,3,1
5930,5,1,4,0,1,1
5940,5,1,3,1,4,1
5950,5,1,4,0,2,1
5960,5,1,4,1,0,1
5970,5,1,4,0,3,1
5980,5,1,4,1,1,1
5990,5,1,4,0,4,1
6000,5,1,4,1,2,1
6010,6,0,0,0,0,1
6020,5,1,4,1,3,1
6030,6,0,0,0,1,1
6040,5,1,4,1,4,1
6050,6,0,0,0,2,1
6060,6,0,0,1,0,1
6070,6,0,0,0,3,1
6080,6,0,0,1,1,1
6090,6,0,0,0,4,1
6100,6,0,0,1,2,1
6110,6,0,1,0,0,1
6120,6,0,0,1,3,1
6130,6,0,1,0,1,1
6140,6,0,0,1,4,1
6150,6,0,1,0,2,1
6160,6,0,1,1,0,1
6170,6,0,1,0,3,1
6180,6,0,1,1,1,1
6190,6,0,1,0,4,1
6200,6,0,1,1,2,1
6210,6,0,2,0,0,1
6220,6,0,1,1,3,1
6230,6,0,2,0,1,1
6240,6,0,1,1,4,1
6250,6,0,2,0,2,1
6260,6,0,2,1,0,1
6270,6,0,2,0,3,1
6280,6,0,2,1,1,1
6290,6,0,2,0,4,1
6300,6,0,2,1,2,1
6310,6,0,3,0,0,1
6320,6,0,2,1,3,1
6330,6,0,3,0,1,1
6340,6,0,2,1,4,1
6350,6,0,3,0,2,1
6360,6,0,3,1,0,1
6370,6,0,3,0,3,1
6380,6,0,3,1,1,1
6390,6,0,3,0,4,1
6400,6,0,3,1,2,1
6410,6,0,4,0,0,1
6420,6,0,3,1,3,1
6430,6,0,4,0,1,1
6440,6,0,3,1,4,1
6450,6,0,4,0,2,1
6460,6,0,4,1,0,1
6470,6,0,4,0,3,1
6480,6,0,4,1,1,1
6490,6,0,4,0,4,1
6500,6,0,4,1,2,1
6510,6,1,0,0,0,1
6520,6,0,4,1,3,1
6530,6,1,0,0,1,1
6540,6,0,4,1,4,1
6550,6,1,0,0,2,1
6560,6,1,0,1,0,1
6570,6,1,0,0,3,1
6580,6,1,0,1,1,1
6590,6,1,0,0,4,1
6600,6,1,0,1,2,1
6610,6,1,1,0,0,1
6620,6,1,0,1,3,1
6630,6,1,1,0,1,1
6640,6,1,0,1,4,1
6650,6,1,1,0,2,1
6660,6,1,1,1,0,1
6670,6,1,1,0,3,1
6680,6,1,1,1,1,1
6690,6,1,1,0,4,1
6700,6,1,1,1,2,1
6710,6,1,2,0,0,1
6720,6,1,1,1,3,1
6730,6,1,2,0,1,1
6740,6,1,1,1,4,1
6750,6,1,2,0,2,1
6760,6,1,2,1,0,1
6770,6,1,2,0,3,1
6780,6,1,2,1,1,1
6790,6,1,2,0,4,1
6800,6,1,2,1,2,1
6810,6,1,3,0,0,1
6820,6,1,2,1,3,1
6830,6,1,3,0,1,1
6840,6,1,2,1,4,1
6850,6,1,3,0,2,1
6860,6,1,3,1,0,1
6870,6,1,3,0,3,1
6880,6,1,3,1,1,1
6890,6,1,3,0,4,1
6900,6,1,3,1,2,1
6910,6,1,4,0,0,1
6920,6,1,3,1,3,1
6930,6,1,4,0,1,1
6940,6,1,3,1,4,1
6950,6,1,4,0,2,1
6960,6,1,4,1,0,1
6970,6,1,4,0,3,1
6980,6,1,4,1,1,1
6990,6,1,4,0,4,1
7000,6,1,4,1,2,1
7010,7,0,0,0,0,1
7020,6,1,4,1,3,1
7030,7,0,0,0,1,1
7040,6,1,4,1,4,1
7050,7,0,0,0,2,1
7060,7,0,0,1,0,1
7070,7,0,0,0,3,1
7080,7,0,0,1,1,1
7090,7,0,0,0,4,1
7100,7,0,0,1,2,1
7110,7,0,1,0,0,1
7120,7,0,0,1,3,1
7130,7,0,1,0,1,1
7140,7,0,0,1,4,1
7150,7,0,1,0,2,1
7160,7,0,1,1,0,1
7170,7,0,1,0,3,1
7180,7,0,1,1,1,1
7190,7,0,1,0,4,1
7200,7,0,1,1,2,1
7210,7,0,2,0,0,1
7220,7,0,1,1,3,1
7230,7,0,2,0,1,1
7240,7,0,1,1,4,1
7250,7,0,2,0,2,1
7260,7,0,2,1,0,1
7270,7,0,2,0,3,1
7280,7,0,2,1,1,1
7290,7,0,2,0,4,1
7300,7,0,2,1,2,1
7310,7,0,3,0,0,1
7320,7,0,2,1,3,1
7330,7,0,3,0,1,1
7340,7,0,2,1,4,1
7350,7,0,3,0,2,1
7360,7,0,3,1,0,1
7370,7,0,3,0,3,1
7380,7,0,3,1,1,1
7390,7,0,3,0,4,1
7400,7,0,3,1,2,1
7410,7,0,4,0,0,1
7420,7,0,3,1,3,1
7430,7,0,4,0,1,1
7440,7,0,3,1,4,1
7450,7,0,4,0,2,1
7460,7,0,4,1,0,1
7470,7,0,4,0,3,1
7480,7,0,4,1,1,1
7490,7,0,4,0,4,1
7500,7,0,4,1,2,1
7510,7,1,0,0,0,1
7520,7,0,4,1,3,1
7530,7,1,0,0,1,1
7540,7,0,4,1,4,1
7550,7,1,0,0,2,1
7560,7,1,0,1,0,1
7570,7,1,0,0,3,1
7580,7,1,0,1,1,1
7590,7,1,0,0,4,1
7600,7,1,0,1,2,1
7610,7,1,1,0,0,1
7620,7,1,0,1,3,1
7630,7,1,1,0,1,1
7640,7,1,0,1,4,1
7650,7,1,1,0,2,1
7660,7,1,1,1,0,1
7670,7,1,1,0,3,1
7680,7,1,1,1,1,1
7690,7,1,1,0,4,1
7700,7,1,1,1,2,1
7710,7,1,2,0,0,1
7720,7,1,1,1,3,1
7730,7,1,2,0,1,1
7740,7,1,1,1,4,1
7750,7,1,2,0,2,1
7760,7,1,2,1,0,1
7770,7,1,2,0,3,1
7780,7,1,2,1,1,1
7790,7,1,2,0,4,1
7800,7,1,2,1,2,1
7810,7,1,3,0,0,1
7820,7,1,2,1,3,1
7830,7,1,3,0,1,1
7840,7,1,2,1,4,1
7850,7,1,3,0,2,1
7860,7,1,3,1,0,1
7870,7,1,3,0,3,1
7880,7,1,3,1,1,1
7890,7,1,3,0,4,1
7900,7,1,3,1,2,1
7910,7,1,4,0,0,1
7920,7,1,3,1,3,1
7930,7,1,4,0,1,1
7940,7,1,3,1,4,1
7950,7,1,4,0,2,1
7960,7,1,4,1,0,1
7970,7,1,4,0,3,1
7980,7,1,4,1,1,1
7990,7,1,4,0,4,1
8000,7,1,4,1,2,1
8010,8,0,0,0,0,1
8020,7,1,4,1,3,1
8030,8,0,0,0,1,1
8040,7,1,4,1,4,1
8050,8,0,0,0,2,1
8060,8,0,0,1,0,1
8070,8,0,0,0,3,1
8080,8,0,0,1,1,1
8090,8,0,0,0,4,1
8100,8,0,0,1,2,1
8110,8,0,1,0,0,1
8120,8,0,0,1,3,1
8130,8,0,1,0,1,1
8140,8,0,0,1,4,1
8150,8,0,1,0,2,1
8160,8,0,1,1,0,1
8170,8,0,1,0,3,1
8180,8,0,1,1,1,1
8190,8,0,1,0,4,1
8200,8,0,1,1,2,1
8210,8,0,2,0,0,1
8220,8,0,1,1,3,1
8230,8,0,2,0,1,1
8240,8,0,1,1,4,1
8250,8,0,2,0,2,1
8260,8,0,2,1,0,1
8270,8,0,2,0,3,1
8280,8,0,2,1,1,1
8290,8,0,2,0,4,1
8300,8,0,2,1,2,1
8310,8,0,3,0,0,1
8320,8,0,2,1,3,1
8330,8,0,3,0,1,1
8340,8,0,2,1,4,1
8350,8,0,3,0,2,1
8360,8,0,3,1,0,1
8370,8,0,3,0,3,1
8380,8,0,3,1,1,1
8390,8,0,3,0,4,1
8400,8,0,3,1,2,1
8410,8,0,4,0,0,1
8420,8,0,3,1,3,1
8430,8,0,4,0,1,1
8440,8,0,3,1,4,1
8450,8,0,4,0,2,1
8460,8,0,4,1,0,1
8470,8,0,4,0,3,1
8480,8,0,4,1,1,1
8490,8,0,4,0,4,1
8500,8,0,4,1,2,1
8510,8,1,0,0,0,1
8520,8,0,4,1,3,1
8530,8,1,0,0,1,1
8540,8,0,4,1,4,1
8550,8,1,0,0,2,1
8560,8,1,0,1,0,1
8570,8,1,0,0,3,1
8580,8,1,0,1,1,1
8590,8,1,0,0,4,1
8600,8,1,0,1,2,1
8610,8,1,1,0,0,1
8620,8,1,0,1,3,1
8630,8,1,1,0,1,1
8640,8,1,0,1,4,1
8650,8,1,1,0,2,1
8660,8,1,1,1,0,1
8670,8,1,1,0,3,1
8680,8,1,1,1,1,1
8690,8,1,1,0,4,1
8700,8,1,1,1,2,1
8710,8,1,2,0,0,1
8720,8,1,1,1,3,1
8730,8,1,2,0,1,1
8740,8,1,1,1,4,1
8750,8,1,2,0,2,1
8760,8,1,2,1,0,1
8770,8,1,2,0,3,1
8780,8,1,2,1,1,1
8790,8,1,2,0,4,1
8800,8,1,2,1,2,1
8810,8,1,3,0,0,1
8820,8,1,2,1,3,1
8830,8,1,3,0,1,1
8840,8,1,2,1,4,1
8850,8,1,3,0,2,1
8860,8,1,3,1,0,1
8870,8,1,3,0,3,1
8880,8,1,3,1,1,1
8890,8,1,3,0,4,1
8900,8,1,3,1,2,1
8910,8,1,4,0,0,1
8920,8,1,3,1,3,1
8930,8,1,4,0,1,1
8940,8,1,3,1,4,1
8950,8,1,4,0,2,1
8960,8,1,4,1,0,1
8970,8,1,4,0,3,1
8980,8,1,4,1,1,1
8990,8,1,4,0,4,1
9000,8,1,4,1,2,1
9010,9,0,0,0,0,1
9020,8,1,4,1,3,1
9030,9,0,0,0,1,1
9040,8,1,4,1,4,1
9050,9,0,0,0,2,1
9060,9,0,0,1,0,1
9070,9,0,0,0,3,1
9080,9,0,0,1,1,1
9090,9,0,0,0,4,1
9100,9,0,0,1,2,1
9110,9,0,1,0,0,1
9120,9,0,0,1,3,1
9130,9,0,1,0,1,1
9140,9,0,0,1,4,1
9150,9,0,1,0,2,1
9160,9,0,1,1,0,1
9170,9,0,1,0,3,1
9180,9,0,1,1,1,1
9190,9,0,1,0,4,1
9200,9,0,1,1,2,1
9210,9,0,2,0,0,1
9220,9,0,1,1,3,1
9230,9,0,2,0,1,1
9240,9,0,1,1,4,1
9250,9,0,2,0,2,1
9260,9,0,2,1,0,1
9270,9,0,2,0,3,1
9280,9,0,2,1,1,1
9290,9,0,2,0,4,1
9300,9,0,2,1,2,1
9310,9,0,3,0,0,1
9320,9,0,2,1,3,1
9330,9,0,3,0,1,1
9340,9,0,2,1,4,1
9350,9,0,3,0,2,1
9360,9,0,3,1,0,1
